architecture,image_path,true_class_index,predicted_class_index,true_class,predicted_class,confidence,correct,probability_cardboard,probability_glass,probability_metal,probability_paper,probability_plastic,probability_trash
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard254.jpg,0,3,cardboard,paper,0.9682045,False,0.012280811,3.6417387e-05,0.00034250354,0.9682045,0.018970298,0.00016550011
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper433.jpg,3,0,paper,cardboard,0.9637824,False,0.9637824,0.00015656656,8.257893e-05,0.035505515,0.0002276575,0.00024533804
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper212.jpg,3,0,paper,cardboard,0.94697183,False,0.94697183,1.7605544e-05,2.3916778e-06,0.0521414,0.00066180783,0.00020487973
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard190.jpg,0,3,cardboard,paper,0.92603815,False,0.0063273865,0.00017675743,0.0008486934,0.92603815,0.06391791,0.0026911504
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass102.jpg,1,4,glass,plastic,0.91916335,False,0.00035291543,0.047627095,0.030841451,0.0011640458,0.91916335,0.0008511274
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash89.jpg,5,3,trash,paper,0.91540146,False,0.0014593565,1.5464482e-05,3.0936764e-05,0.91540146,3.4556455e-05,0.08305819
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic33.jpg,4,2,plastic,metal,0.91175014,False,0.0003324009,0.011200566,0.91175014,0.00035751,0.0751663,0.0011931289
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard331.jpg,0,3,cardboard,paper,0.90696657,False,0.0754162,0.00049170386,0.00024402559,0.90696657,0.015269197,0.0016123556
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass254.jpg,1,4,glass,plastic,0.8877034,False,0.00055302645,0.0908063,0.01663256,0.00212226,0.8877034,0.0021824883
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic467.jpg,4,2,plastic,metal,0.8852316,False,0.00092692586,0.00016830204,0.8852316,0.00019129901,0.0064965417,0.10698523
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass440.jpg,1,4,glass,plastic,0.86937886,False,4.8210095e-05,0.12881929,0.0010793735,7.5293945e-05,0.86937886,0.0005989504
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic459.jpg,4,5,plastic,trash,0.83965874,False,0.0010083417,0.00039215744,0.0029774206,0.14081663,0.015146697,0.83965874
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass298.jpg,1,2,glass,metal,0.8245616,False,0.0010689921,0.094868585,0.8245616,0.00025892895,0.07871669,0.00052518665
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper476.jpg,3,2,paper,metal,0.8085679,False,0.0027608932,0.019660916,0.8085679,0.03698571,0.09076575,0.041258812
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash92.jpg,5,0,trash,cardboard,0.7502994,False,0.7502994,0.0023591155,0.040081736,0.003500119,0.018152416,0.18560722
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper3.jpg,3,2,paper,metal,0.73793024,False,0.0028641352,0.005099642,0.73793024,0.019457188,0.19974448,0.034904327
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass359.jpg,1,4,glass,plastic,0.7283427,False,0.00087680126,0.25444335,0.0139316125,0.00046858823,0.7283427,0.0019369151
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic436.jpg,4,2,plastic,metal,0.6591476,False,0.0010478304,0.00044982208,0.6591476,0.0012146372,0.3358677,0.0022723172
